127.0.0.1 - - [19/Jan/2023:15:49:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:09 +0900] "GET /BBS/myPage.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:09 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 145933
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:09 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 75484
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:10 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:34 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:36 +0900] "GET /BBS/myPage.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:44 +0900] "GET /BBS/myPage.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 145933
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 75484
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:45 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:49 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:51 +0900] "GET /BBS/myPage.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:49:55 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 390887
0:0:0:0:0:0:0:1 - - [19/Jan/2023:15:50:55 +0900] "GET /BBS/myPage.jsp HTTP/1.1" 200 449
